Name,Geographic Level,,,,,,,
National Capital Region (NCR),Reg,,,,,,,
City of Caloocan,City,,,,,,,
Barangay 84,Bgy,,,,,,,
Barangay 85,Bgy,,,,,,,
Barangay 86,Bgy,,,,,,,
Barangay 87,Bgy,,,,,,,
Barangay 88,Bgy,,,,,,,
Barangay 89,Bgy,,,,,,,
Barangay 90,Bgy,,,,,,,
Barangay 91,Bgy,,,,,,,
Barangay 92,Bgy,,,,,,,
Barangay 93,Bgy,,,,,,,
Barangay 94,Bgy,,,,,,,
Barangay 95,Bgy,,,,,,,
Barangay 96,Bgy,,,,,,,
Barangay 97,Bgy,,,,,,,
Barangay 98,Bgy,,,,,,,
Barangay 99,Bgy,,,,,,,
Barangay 100,Bgy,,,,,,,
Barangay 101,Bgy,,,,,,,
Barangay 102,Bgy,,,,,,,
Barangay 103,Bgy,,,,,,,
Barangay 104,Bgy,,,,,,,
Barangay 105,Bgy,,,,,,,
Barangay 106,Bgy,,,,,,,
Barangay 107,Bgy,,,,,,,
Barangay 108,Bgy,,,,,,,
Barangay 109,Bgy,,,,,,,
Barangay 110,Bgy,,,,,,,
Barangay 111,Bgy,,,,,,,
Barangay 112,Bgy,,,,,,,
Barangay 116,Bgy,,,,,,,
Barangay 117,Bgy,,,,,,,
Barangay 118,Bgy,,,,,,,
Barangay 119,Bgy,,,,,,,
Barangay 120,Bgy,,,,,,,
Barangay 121,Bgy,,,,,,,
Barangay 122,Bgy,,,,,,,
Barangay 123,Bgy,,,,,,,
Barangay 124,Bgy,,,,,,,
Barangay 125,Bgy,,,,,,,
Barangay 126,Bgy,,,,,,,
Barangay 127,Bgy,,,,,,,
Barangay 128,Bgy,,,,,,,
Barangay 129,Bgy,,,,,,,
Barangay 130,Bgy,,,,,,,
Barangay 131,Bgy,,,,,,,
Barangay 132,Bgy,,,,,,,
Barangay 133,Bgy,,,,,,,
Barangay 134,Bgy,,,,,,,
Barangay 135,Bgy,,,,,,,
Barangay 136,Bgy,,,,,,,
Barangay 137,Bgy,,,,,,,
Barangay 138,Bgy,,,,,,,
Barangay 139,Bgy,,,,,,,
Barangay 140,Bgy,,,,,,,
Barangay 141,Bgy,,,,,,,
Barangay 142,Bgy,,,,,,,
Barangay 143,Bgy,,,,,,,
Barangay 144,Bgy,,,,,,,
Barangay 145,Bgy,,,,,,,
Barangay 146,Bgy,,,,,,,
Barangay 147,Bgy,,,,,,,
Barangay 148,Bgy,,,,,,,
Barangay 149,Bgy,,,,,,,
Barangay 150,Bgy,,,,,,,
Barangay 151,Bgy,,,,,,,
Barangay 152,Bgy,,,,,,,
Barangay 153,Bgy,,,,,,,
Barangay 154,Bgy,,,,,,,
Barangay 155,Bgy,,,,,,,
Barangay 156,Bgy,,,,,,,
Barangay 157,Bgy,,,,,,,
Barangay 158,Bgy,,,,,,,
Barangay 159,Bgy,,,,,,,
Barangay 160,Bgy,,,,,,,
Barangay 161,Bgy,,,,,,,
Barangay 162,Bgy,,,,,,,
Barangay 163,Bgy,,,,,,,
Barangay 164,Bgy,,,,,,,
Barangay 165,Bgy,,,,,,,
Barangay 166,Bgy,,,,,,,
Barangay 167,Bgy,,,,,,,
Barangay 168,Bgy,,,,,,,
Barangay 169,Bgy,,,,,,,
Barangay 170,Bgy,,,,,,,
Barangay 171,Bgy,,,,,,,
Barangay 172,Bgy,,,,,,,
Barangay 173,Bgy,,,,,,,
Barangay 174,Bgy,,,,,,,
Barangay 175,Bgy,,,,,,,
Barangay 176,Bgy,,,,,,,
Barangay 177,Bgy,,,,,,,
Barangay 178,Bgy,,,,,,,
Barangay 179,Bgy,,,,,,,
Barangay 180,Bgy,,,,,,,
Barangay 181,Bgy,,,,,,,
Barangay 182,Bgy,,,,,,,
Barangay 183,Bgy,,,,,,,
Barangay 184,Bgy,,,,,,,
Barangay 185,Bgy,,,,,,,
Barangay 186,Bgy,,,,,,,
Barangay 187,Bgy,,,,,,,
Barangay 188,Bgy,,,,,,,
Barangay 189,Bgy,,,,,,,
Barangay 190,Bgy,,,,,,,
Barangay 191,Bgy,,,,,,,
Barangay 192,Bgy,,,,,,,
Barangay 193,Bgy,,,,,,,
Barangay 194,Bgy,,,,,,,
Barangay 195,Bgy,,,,,,,
Barangay 196,Bgy,,,,,,,
Barangay 197,Bgy,,,,,,,
Barangay 198,Bgy,,,,,,,
Barangay 199,Bgy,,,,,,,
Barangay 200,Bgy,,,,,,,
Barangay 201,Bgy,,,,,,,
Barangay 202,Bgy,,,,,,,
Barangay 202-A,Bgy,,,,,,,
Barangay 203,Bgy,,,,,,,
Barangay 204,Bgy,,,,,,,
Barangay 205,Bgy,,,,,,,
Barangay 206,Bgy,,,,,,,
Barangay 207,Bgy,,,,,,,
Barangay 208,Bgy,,,,,,,
Barangay 209,Bgy,,,,,,,
Barangay 210,Bgy,,,,,,,
